repository,stars,language,license,tier,file,bytes,lines,headings,code_blocks,build_commands,test_commands,code_style,architecture,prohibitions,emphatic,pr_conventions,security,dir_map,file_refs,agent_addressed,examples
freeCodeCamp/freeCodeCamp,453320,TypeScript,bsd-3-clause,full,.github/copilot-instructions.md,4756,187,18,7,0,1,1,1,1,0,1,0,0,0,0,0
openclaw/openclaw,384818,TypeScript,mit,full,AGENTS.md,64942,386,18,0,0,1,0,1,1,0,1,1,0,0,0,1
openclaw/openclaw,384818,TypeScript,mit,full,CLAUDE.md,64942,386,18,0,0,1,0,1,1,0,1,1,0,0,0,1
vinta/awesome-python,311566,Python,cc-by-4.0,full,AGENTS.md,1990,32,5,0,0,1,0,1,0,0,0,0,0,1,0,0
vinta/awesome-python,311566,Python,cc-by-4.0,full,CLAUDE.md,1726,32,5,0,0,1,0,1,1,0,0,0,0,1,0,0
obra/superpowers,264731,Shell,mit,full,AGENTS.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obra/superpowers,264731,Shell,mit,full,CLAUDE.md,8873,116,18,0,0,0,0,0,1,0,1,0,0,0,1,0
obra/superpowers,264731,Shell,mit,full,GEMINI.md,92,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
react/react,246835,JavaScript,mit,full,CLAUDE.md,359,14,3,0,0,0,0,1,0,0,0,0,0,0,0,0
affaan-m/ECC,236784,JavaScript,mit,full,AGENTS.md,8626,173,14,1,1,0,1,1,1,1,1,1,0,0,0,0
affaan-m/ECC,236784,JavaScript,mit,full,CLAUDE.md,3936,83,11,1,1,0,0,1,1,0,0,0,0,0,0,0
affaan-m/ECC,236784,JavaScript,mit,full,.github/copilot-instructions.md,4617,116,13,2,0,0,0,0,1,1,1,0,0,0,0,1
NousResearch/hermes-agent,223767,Python,mit,full,AGENTS.md,75293,1436,81,21,1,1,1,1,1,1,0,1,1,0,1,1
n8n-io/n8n,198963,TypeScript,,metadata,AGENTS.md,669,26,26,0,1,0,0,1,1,0,0,0,0,0,0,0
n8n-io/n8n,198963,TypeScript,,metadata,CLAUDE.md,,,,,0,0,0,0,0,0,0,0,0,0,0,0
mattpocock/skills,198705,Shell,mit,full,AGENTS.md,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mattpocock/skills,198705,Shell,mit,full,CLAUDE.md,3297,25,0,0,0,0,0,0,1,0,0,0,0,1,0,0
multica-ai/andrej-karpathy-skills,198442,,,metadata,CLAUDE.md,111,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ultraworkers/claw-code,194958,Rust,mit,full,CLAUDE.md,1181,22,5,0,0,1,0,0,1,0,0,0,0,0,0,0
anomalyco/opencode,191977,TypeScript,mit,full,AGENTS.md,8748,162,13,6,0,0,1,0,1,0,1,0,0,0,0,1
microsoft/vscode,188103,TypeScript,mit,full,AGENTS.md,271,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0
microsoft/vscode,188103,TypeScript,mit,full,.github/copilot-instructions.md,10592,153,18,2,0,0,1,1,1,1,0,0,0,1,1,1
Significant-Gravitas/AutoGPT,185745,Python,mit,full,AGENTS.md,3818,70,6,0,0,1,1,1,1,0,0,0,0,0,0,0
Significant-Gravitas/AutoGPT,185745,Python,mit,full,CLAUDE.md,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
